name,original_party,account_link,twitter_account,party,block
גפני משה, דגל התורה,,,Yahadut_hatora,Ultra-orthodox
דיין עוזי, הליכוד,https://twitter.com/DayanUzi,DayanUzi,Likud,Right
דיכטר אבי, הליכוד,http://twitter.com/avidichter,avidichter,Likud,Right
האוזר צבי, דרך ארץ,https://twitter.com/ZviHauser,ZviHauser,Derech_Eretz,Right
הורוביץ ניצן, מרצ,https://twitter.com/NitzanHorowitz,NitzanHorowitz,Meretz,Center_Left
הלוי עמית, הליכוד,https://twitter.com/HaleviAmit,HaleviAmit,Likud,Right
הנגבי צחי, הליכוד,https://twitter.com/Tzachi_Hanegbi,Tzachi_Hanegbi,Likud,Right
הנדל יועז, דרך ארץ,https://twitter.com/YoazHendel1,YoazHendel1,Derech_Eretz,Right
ואטורי ניסים, הליכוד,https://twitter.com/nissimv,nissimv,Likud,Right
וונש מיכל, כחול לבן,https://twitter.com/CotlerWunsh,CotlerWunsh,Blue_and_White,Center_Left
וסרמן לנדה רות, כחול לבן,https://twitter.com/rutilande,rutilande,Blue_and_White,Center_Left
זוהר מכלוף מיקי, הליכוד,https://twitter.com/zoharm7,zoharm7,Likud,Right
זמיר אסף, כחול לבן,https://twitter.com/asafzamir,asafzamir,Blue_and_White,Center_Left
זנדברג תמר, מרצ,https://twitter.com/tamarzandberg,tamarzandberg,Meretz,Center_Left
ח'טיב יאסין אימאן, רע”מ - רשימת האיחוד הערבי,https://twitter.com/khatib_eman,khatib_eman,Joint_List,Arabs
חיימוביץ' מיקי, כחול לבן,https://twitter.com/mikihaimovich1,mikihaimovich1,Blue_and_White,Center_Left
טאהא ווליד, רע”מ - רשימת האיחוד הערבי,https://twitter.com/Waleedt68,Waleedt68,Joint_List,Arabs
טופורובסקי בועז, יש עתיד-תל”ם,https://twitter.com/BToporovsky,BToporovsky,Yesh_Atid,Center_Left
טור פז משה, יש עתיד-תל”ם, https://twitter.com/mosheturpaz,mosheturpaz,Yesh_Atid,Center_Left
טיבי אחמד, תע”ל - התנועה הערבית להתחדשות,https://twitter.com/Ahmad_tibi,Ahmad_tibi,Joint_List,Arabs
טייב יוסף, ש”ס,https://twitter.com/yossitaieb,yossitaieb,Shas,Ultra-orthodox
טסלר יעקב, אגודת ישראל,,,Yahadut_hatora,Ultra-orthodox
יברקן דסטה גדי, הליכוד,https://twitter.com/GYevarkan,GYevarkan,Likud,Right
יוגב מטי, הליכוד,https://twitter.com/MattiYogev,MattiYogev,Likud,Right
יזבק היבה, הרשימה המשותפת,https://twitter.com/hebayazbak,hebayazbak,Joint_List,Arabs
ינקלביץ' עומר, כחול לבן,https://twitter.com/omeryankelevitc,omeryankelevitc,Blue_and_White,Center_Left
יעלון משה, יש עתיד-תל”ם,https://twitter.com/bogie_yaalon,bogie_yaalon,Yesh_Atid,Center_Left
